val_loss,train_loss
5.9395432472229,5.925754547119141
5.581608772277832,5.455951690673828
5.220871925354004,5.08020544052124
4.820772647857666,4.757528305053711
4.4915571212768555,4.414286136627197
4.225587368011475,4.110930442810059
4.023284435272217,3.8616254329681396
3.884491205215454,3.682133436203003
3.760688304901123,3.5529990196228027
3.7260777950286865,3.4427106380462646
3.7036547660827637,3.3589203357696533
3.631033420562744,3.2913901805877686
3.6464192867279053,3.233452558517456
3.5912833213806152,3.2039215564727783
3.5906484127044678,3.1667897701263428
3.5868422985076904,3.13620662689209
3.545600414276123,3.1169841289520264
3.519526243209839,3.077643394470215
3.530606746673584,3.0542924404144287
3.479905366897583,3.0283145904541016
3.5023951530456543,3.0122220516204834
3.5386931896209717,2.9868874549865723
3.479905843734741,2.9916176795959473
3.5211715698242188,2.969040870666504
3.4966723918914795,2.978747844696045
3.470461130142212,2.9676218032836914
3.458038330078125,2.9627068042755127
3.445244550704956,2.968228816986084
3.4401421546936035,2.9494433403015137
3.4809324741363525,2.929438829421997
3.395512104034424,2.9274418354034424
3.415379762649536,2.9280598163604736
3.436432361602783,2.932427167892456
3.393110990524292,2.9305787086486816
3.416743040084839,2.910658836364746
3.407410144805908,2.91117525100708
3.407135009765625,2.8898727893829346
3.4116644859313965,2.8940393924713135
3.3669002056121826,2.89109468460083
